rain_24h_mm,rain_72h_mm,river_ratio,soil_saturation,humidity_pct,wind_kmh,elevation_m,severity
32.5,127.2,0.937,0.651,64.3,6.3,118.0,2
66.2,112.9,0.761,0.46,67.0,23.4,52.0,2
40.6,131.9,0.855,0.696,67.0,8.2,26.6,2
39.5,100.1,0.777,0.722,55.9,10.9,221.6,1
23.0,93.1,0.772,0.523,63.0,13.2,72.1,1
23.9,56.7,0.55,0.358,50.3,8.8,117.5,0
15.2,25.1,0.176,0.249,50.8,31.6,226.9,0
26.7,43.9,0.48,0.401,57.3,75.7,48.0,0
4.1,17.9,0.31,0.221,59.5,2.3,146.6,0
66.4,68.4,0.682,0.307,58.3,27.2,57.1,1
6.1,81.4,0.74,0.433,58.5,13.8,83.6,0
40.5,69.9,0.84,0.443,60.3,11.3,56.2,2
59.5,72.0,0.762,0.505,64.2,24.3,45.2,1
40.4,188.8,1.053,0.854,51.6,27.4,154.0,3
115.3,313.4,1.7,1.0,67.4,17.0,59.3,3
0.3,7.1,0.295,0.211,51.3,28.4,29.8,0
10.3,36.0,0.243,0.248,56.4,2.1,40.5,0
58.6,82.7,0.533,0.49,54.9,22.1,219.9,0
2.8,14.3,0.095,0.277,42.1,12.5,153.9,0
6.4,80.3,0.6,0.382,36.0,14.5,81.9,0
30.5,32.5,0.421,0.333,62.9,25.1,141.2,0
19.1,139.5,0.758,0.618,62.6,18.8,84.6,2
28.7,62.8,0.438,0.325,40.5,40.5,218.3,0
20.9,160.0,0.89,0.736,55.9,44.5,37.5,3
22.9,54.4,0.573,0.512,52.7,11.6,27.6,0
7.3,31.2,0.337,0.146,62.9,4.5,108.3,0
22.2,100.9,0.759,0.526,53.9,13.0,212.1,0
11.2,149.6,0.954,0.753,58.2,6.2,72.0,2
13.2,134.8,0.934,0.804,50.7,9.2,223.1,1
40.0,43.9,0.509,0.524,52.9,15.2,58.2,0
2.6,100.6,0.886,0.529,58.5,3.1,116.5,1
0.0,22.8,0.392,0.316,60.6,17.2,67.7,0
37.4,65.8,0.534,0.424,47.8,13.1,150.0,0
22.2,44.5,0.73,0.342,64.7,7.7,75.7,0
59.4,76.6,0.542,0.499,53.7,3.9,76.7,0
6.6,32.6,0.402,0.163,34.4,23.4,52.0,0
16.1,27.0,0.297,0.28,54.7,26.3,47.8,0
19.9,118.4,0.679,0.676,59.2,24.7,34.9,1
8.6,68.5,0.422,0.366,41.2,6.1,49.4,0
5.5,45.7,0.554,0.397,37.0,16.3,62.8,0
39.1,61.4,0.517,0.261,54.3,28.1,32.9,0
2.1,20.5,0.361,0.267,47.3,15.1,69.9,0
4.2,52.6,0.62,0.503,63.6,14.3,40.1,0
15.5,56.9,0.615,0.379,54.6,36.6,44.3,0
43.5,126.7,0.907,0.579,64.8,36.3,114.1,2
9.3,28.1,0.557,0.16,55.2,9.0,34.6,0
7.8,24.7,0.565,0.31,65.8,7.8,54.1,0
14.5,72.3,0.52,0.542,47.2,6.9,50.3,0
26.2,94.7,0.798,0.539,55.5,3.3,34.5,1
12.0,15.5,0.359,0.198,41.4,31.4,61.0,0
48.6,151.5,1.005,0.589,66.3,17.3,53.8,3
50.5,87.7,0.634,0.528,69.0,11.2,25.5,1
15.5,35.4,0.419,0.254,61.5,13.7,70.9,0
91.4,140.3,1.013,0.663,65.6,37.2,33.5,3
19.4,66.8,0.652,0.583,43.2,4.1,207.2,0
49.0,69.5,0.565,0.285,59.1,32.5,61.7,1
25.4,29.5,0.255,0.143,50.6,13.3,50.8,0
25.0,128.1,0.817,0.693,63.4,18.1,159.8,2
1.3,16.6,0.22,0.209,48.8,17.6,124.9,0
3.6,16.5,0.365,0.197,49.0,34.1,56.4,0
12.7,29.7,0.41,0.319,71.4,6.6,218.0,0
50.1,115.9,0.852,0.649,66.4,51.3,69.9,3
25.8,49.0,0.467,0.281,64.7,5.2,128.3,0
12.9,30.3,0.341,0.243,50.0,7.6,214.4,0
33.3,79.4,0.732,0.49,48.5,21.3,111.6,1
48.5,89.0,0.64,0.538,68.3,33.6,72.2,1
18.1,35.9,0.535,0.361,66.8,7.1,76.6,0
22.8,26.7,0.352,0.23,45.4,4.5,70.9,0
19.8,84.4,0.643,0.536,51.0,33.3,222.7,0
16.9,58.1,0.39,0.489,47.4,9.7,129.7,0
6.5,8.7,0.405,0.218,56.9,9.7,43.6,0
5.8,120.7,0.825,0.635,61.6,13.7,29.3,2
33.1,35.1,0.46,0.294,54.3,13.2,141.7,0
49.3,63.3,0.734,0.368,56.9,22.5,56.0,1
12.9,27.9,0.366,0.203,38.4,4.7,56.2,0
12.5,30.6,0.353,0.271,46.4,3.6,215.6,0
0.6,18.1,0.411,0.29,64.2,16.7,48.1,0
61.0,68.7,0.675,0.364,65.7,20.4,32.9,2
7.1,44.9,0.528,0.346,60.5,20.4,119.8,0
9.2,82.9,0.597,0.481,50.5,19.7,218.2,0
28.1,65.4,0.514,0.591,54.3,4.5,148.7,0
28.9,72.2,0.71,0.523,56.8,20.5,147.9,0
12.7,36.4,0.471,0.384,56.6,19.1,148.5,0
16.3,52.3,0.433,0.464,65.6,4.4,120.5,0
25.7,71.9,0.477,0.408,50.7,26.7,208.5,0
7.5,67.4,0.576,0.563,52.1,6.4,59.7,0
73.7,89.7,0.803,0.539,57.4,9.1,112.8,2
5.5,19.2,0.208,0.25,37.1,20.6,30.0,0
14.4,15.4,0.321,0.13,61.7,5.2,51.6,0
10.5,151.9,0.909,0.728,67.7,10.8,49.8,2
20.7,155.3,0.759,0.619,61.4,10.1,221.7,1
70.5,101.0,0.744,0.546,65.1,11.4,60.7,2
5.0,37.1,0.49,0.271,67.6,6.7,37.9,0
28.5,137.1,0.868,0.672,60.2,45.9,76.5,2
33.9,41.8,0.506,0.216,63.8,21.2,38.8,0
51.8,64.0,0.538,0.489,61.4,9.7,42.0,1
6.4,120.3,0.797,0.696,55.4,7.6,58.0,2
6.0,29.5,0.297,0.446,51.9,15.8,61.6,0
14.6,24.9,0.554,0.425,61.0,9.8,68.6,0
15.0,63.6,0.764,0.439,45.7,17.0,33.6,0
4.4,20.5,0.312,0.351,56.1,5.0,123.7,0
34.6,133.6,0.835,0.718,50.7,15.1,28.4,2
31.5,67.1,0.646,0.4,61.1,22.8,166.0,0
96.4,113.2,0.999,0.59,86.6,17.7,33.9,3
12.5,30.3,0.638,0.354,59.6,10.2,24.4,0
4.3,50.9,0.708,0.744,62.1,17.7,68.7,1
5.5,31.9,0.211,0.408,60.1,1.8,142.5,0
25.5,48.6,0.613,0.389,37.5,22.5,120.0,0
6.6,68.5,0.573,0.487,52.0,2.1,68.4,0
37.0,146.8,1.039,0.787,61.5,25.6,36.9,3
7.9,62.7,0.547,0.413,36.5,9.7,225.8,0
22.0,36.7,0.573,0.389,53.2,23.5,30.4,0
16.6,26.1,0.521,0.267,54.0,26.9,68.4,0
5.4,64.3,0.497,0.336,43.0,10.1,111.9,0
1.8,56.6,0.452,0.441,44.5,24.8,64.6,0
56.0,77.4,0.769,0.533,71.7,17.6,147.1,1
26.2,53.2,0.442,0.371,30.0,18.7,135.3,0
3.4,19.0,0.454,0.281,54.7,29.0,225.0,0
4.0,13.7,0.293,0.319,61.9,16.2,64.3,0
94.1,111.2,0.827,0.603,66.8,27.2,153.5,2
5.9,6.4,0.33,0.164,64.2,42.4,42.1,0
23.4,108.2,0.652,0.532,52.3,23.5,61.4,1
1.1,7.4,0.209,0.185,44.9,9.2,34.7,0
10.8,41.9,0.583,0.479,53.7,15.7,47.2,0
39.4,40.9,0.385,0.319,55.3,9.2,50.9,0
0.7,54.0,0.705,0.42,47.5,15.7,142.4,0
8.8,76.3,0.628,0.444,52.0,10.6,55.7,0
8.2,42.0,0.399,0.305,47.0,17.2,56.5,0
31.0,60.4,0.629,0.333,50.3,24.2,79.9,0
28.4,44.0,0.315,0.358,47.6,8.4,50.2,0
30.9,114.1,0.791,0.572,60.3,14.7,73.6,2
23.1,27.6,0.452,0.401,47.7,6.7,30.7,0
28.4,48.4,0.406,0.357,46.6,8.8,108.6,0
2.6,16.2,0.263,0.238,43.8,14.8,146.9,0
23.2,36.3,0.642,0.303,57.4,10.7,35.3,0
65.0,146.5,1.058,0.777,67.8,35.6,23.1,3
18.6,46.3,0.564,0.492,61.0,3.5,53.5,0
8.2,23.7,0.332,0.178,55.0,37.2,76.8,0
9.3,51.7,0.377,0.404,57.8,22.8,120.1,0
61.0,100.3,0.743,0.425,61.3,22.4,150.0,1
131.2,197.7,1.069,1.0,76.6,28.0,143.4,3
0.4,47.1,0.394,0.351,55.6,21.1,70.1,0
12.9,41.8,0.347,0.206,48.2,9.6,120.2,0
3.7,34.5,0.275,0.198,44.0,23.4,48.1,0
30.5,75.4,0.688,0.543,67.7,17.1,119.1,0
21.6,32.9,0.473,0.157,56.5,4.1,39.6,0
15.3,53.9,0.397,0.412,62.9,8.2,222.7,0
0.8,108.7,0.833,0.559,43.3,5.7,35.2,1
11.3,45.1,0.269,0.336,50.6,11.6,210.2,0
14.7,36.8,0.356,0.261,43.3,2.6,61.4,0
3.7,25.5,0.511,0.192,57.8,20.9,64.9,0
25.1,68.3,0.848,0.399,51.1,24.5,33.8,1
21.7,58.4,0.649,0.456,51.0,9.8,48.4,1
12.3,67.6,0.582,0.414,69.6,17.6,166.8,0
17.6,34.2,0.433,0.349,60.1,34.0,36.7,0
12.0,38.1,0.433,0.305,59.2,10.0,53.4,0
0.9,64.3,0.581,0.482,42.5,9.5,77.7,0
29.4,96.9,0.823,0.59,41.8,12.0,151.2,1
23.9,92.0,0.761,0.485,63.6,20.7,63.4,1
2.4,60.4,0.663,0.326,34.5,9.4,28.2,0
25.8,85.4,0.625,0.595,52.1,12.0,47.8,1
26.8,65.3,0.572,0.358,49.8,20.4,227.1,0
26.8,32.8,0.427,0.351,48.9,19.6,49.2,0
39.6,46.4,0.558,0.361,54.8,10.4,81.5,0
56.1,89.4,0.724,0.482,52.5,8.2,221.1,1
10.6,45.3,0.454,0.393,44.0,10.3,68.2,0
38.7,51.4,0.504,0.501,60.2,13.5,30.8,1
10.3,24.0,0.388,0.329,62.2,15.4,162.7,0
25.0,53.7,0.497,0.398,42.1,14.2,153.4,0
44.3,201.7,1.223,1.0,60.7,6.6,71.7,3
6.0,16.2,0.345,0.092,57.3,9.4,212.9,0
0.1,21.0,0.474,0.161,55.6,2.0,113.2,0
5.2,71.6,0.638,0.414,51.1,15.1,112.2,0
50.4,107.2,0.88,0.72,55.3,7.7,57.5,2
4.3,45.6,0.475,0.44,58.8,3.5,24.4,0
47.9,50.7,0.519,0.221,62.4,12.5,125.8,0
5.3,30.0,0.421,0.256,37.7,16.8,150.7,0
13.9,140.2,0.843,0.6,52.5,13.4,118.4,1
17.7,30.9,0.494,0.295,55.3,36.4,67.0,0
4.2,16.8,0.272,0.326,43.9,2.7,113.4,0
14.1,118.2,1.005,0.722,52.3,3.1,38.7,3
1.4,30.0,0.449,0.32,56.2,7.9,54.7,0
11.9,15.0,0.39,0.2,47.3,23.2,65.5,0
16.1,24.7,0.295,0.267,56.4,9.2,211.9,0
5.2,22.2,0.578,0.327,44.9,6.3,53.5,0
24.2,63.7,0.509,0.636,46.0,18.5,34.3,0
3.5,29.2,0.33,0.185,57.5,9.3,118.7,0
28.4,40.3,0.592,0.478,65.9,29.7,60.0,0
31.2,57.3,0.513,0.422,47.5,11.9,225.7,0
24.1,37.2,0.442,0.397,63.5,24.0,61.6,0
38.3,170.3,1.032,0.852,58.0,12.9,51.7,3
1.2,9.2,0.328,0.342,34.5,16.6,36.4,0
46.1,65.6,0.561,0.462,47.9,27.5,222.5,0
4.4,21.0,0.536,0.202,57.6,2.6,59.0,0
20.0,37.0,0.547,0.363,42.2,2.7,50.5,0
82.6,91.9,0.905,0.635,60.3,6.8,69.6,3
11.5,109.5,0.684,0.601,53.2,6.0,152.4,1
18.2,184.8,1.101,0.704,58.5,26.8,144.3,3
4.4,48.4,0.344,0.356,54.2,39.0,103.9,0
82.0,122.6,0.979,0.66,77.7,15.7,33.2,3
5.2,9.5,0.372,0.212,46.3,9.1,37.4,0
33.9,130.0,1.011,0.635,58.2,17.7,149.2,2
56.0,69.2,0.722,0.565,64.6,9.8,223.3,1
37.1,40.6,0.497,0.123,63.6,17.2,76.4,0
25.6,76.9,0.494,0.484,64.5,26.5,220.1,0
19.7,96.2,0.669,0.56,51.7,17.1,52.8,1
2.6,97.9,0.685,0.745,57.6,5.0,66.1,1
78.9,98.7,0.97,0.558,57.2,15.3,39.2,3
23.5,40.9,0.49,0.378,55.1,43.0,154.6,0
18.2,55.9,0.58,0.406,58.9,18.3,110.9,0
3.8,29.5,0.511,0.302,60.4,8.4,47.2,0
19.2,71.3,0.441,0.613,59.6,7.8,227.2,0
17.0,55.1,0.516,0.292,55.4,8.9,24.7,0
82.6,94.6,0.842,0.484,64.6,25.2,116.6,2
18.2,116.0,0.747,0.694,59.3,15.4,59.2,2
18.9,71.3,0.434,0.477,72.5,6.2,156.2,0
3.9,79.0,0.543,0.458,59.5,24.5,56.6,0
6.8,19.0,0.493,0.247,56.1,41.3,48.6,0
30.2,81.3,0.673,0.575,45.9,16.5,31.0,1
0.7,64.5,0.579,0.472,45.4,27.4,81.9,0
45.9,82.7,0.64,0.434,56.8,6.9,39.0,1
47.1,56.2,0.649,0.417,66.8,13.1,54.6,1
5.9,39.5,0.352,0.327,45.4,4.5,224.3,0
25.7,84.5,0.688,0.547,61.3,23.0,139.9,1
57.6,137.0,0.927,0.678,62.2,15.3,55.5,2
15.5,20.3,0.421,0.149,57.3,2.4,117.5,0
12.3,48.4,0.422,0.427,52.2,5.3,149.8,0
14.2,20.9,0.4,0.31,49.5,12.0,65.8,0
23.5,82.9,0.669,0.626,48.0,3.9,47.1,1
8.1,81.2,0.6,0.374,58.2,5.4,153.3,0
11.1,22.0,0.454,0.258,53.2,26.5,28.0,0
24.0,32.5,0.424,0.284,47.2,7.8,71.0,0
10.0,26.5,0.361,0.246,55.4,15.4,152.0,0
3.4,30.0,0.443,0.157,79.9,23.6,68.0,0
18.6,32.8,0.509,0.21,53.4,21.5,67.7,0
54.5,118.5,0.881,0.66,74.0,36.7,54.9,2
27.0,106.7,0.71,0.545,35.6,26.0,62.1,1
3.6,38.3,0.441,0.253,50.4,14.7,115.1,0
6.8,21.5,0.363,0.391,60.7,3.5,223.7,0
12.2,37.9,0.307,0.539,54.1,12.3,147.1,0
84.8,119.5,0.825,0.635,60.4,24.9,49.5,3
88.7,113.3,0.868,0.48,66.0,10.2,44.0,3
80.2,109.2,0.871,0.636,72.7,30.2,58.0,3
20.7,95.3,0.478,0.359,72.5,13.4,156.4,0
7.3,21.0,0.447,0.139,61.7,21.0,66.5,0
11.7,152.1,0.946,0.802,49.8,21.1,51.8,2
42.8,78.4,0.503,0.357,57.0,23.3,32.5,0
24.1,47.4,0.443,0.336,54.1,9.6,51.3,0
25.5,38.8,0.439,0.196,49.1,35.6,123.8,0
4.7,19.3,0.2,0.259,51.5,29.9,109.0,0
16.8,48.5,0.616,0.468,52.5,14.4,64.4,0
7.4,42.8,0.514,0.29,43.6,4.8,50.5,0
2.3,24.8,0.48,0.274,59.1,8.8,41.9,0
8.7,15.2,0.194,0.165,56.8,8.8,211.9,0
24.1,55.8,0.612,0.328,50.7,4.1,56.0,0
36.6,51.5,0.483,0.303,59.0,8.8,114.5,0
0.5,3.7,0.292,0.265,44.4,0.1,70.8,0
17.7,71.6,0.652,0.328,50.4,18.9,75.4,1
16.0,20.0,0.393,0.227,60.1,11.6,76.6,0
22.8,44.3,0.601,0.387,59.4,22.6,51.4,0
3.7,31.9,0.354,0.384,48.5,9.8,224.4,0
3.8,92.2,0.645,0.574,55.1,2.9,70.8,1
55.8,59.3,0.676,0.401,60.3,7.1,123.2,1
6.0,64.9,0.586,0.378,45.0,12.3,212.1,0
11.0,77.8,0.655,0.562,52.4,12.4,55.2,0
12.5,122.6,0.959,0.573,57.4,7.6,52.7,2
7.6,85.0,0.554,0.43,55.7,7.1,216.5,0
29.3,58.3,0.517,0.526,43.1,23.7,165.2,0
26.9,88.0,0.661,0.551,57.6,3.3,147.1,1
15.2,107.0,0.666,0.627,54.6,16.4,219.7,0
8.2,10.4,0.348,0.274,38.1,10.3,28.4,0
13.8,20.3,0.246,0.25,47.8,22.9,221.4,0
19.4,58.2,0.49,0.275,59.0,44.3,53.3,0
6.8,72.9,0.636,0.483,64.2,4.1,45.7,0
31.4,83.7,0.819,0.5,43.9,21.2,43.7,2
45.6,87.6,0.827,0.44,67.1,21.2,38.6,2
64.3,173.2,1.178,0.748,47.2,9.3,39.3,3
61.0,83.4,0.87,0.497,72.9,11.2,44.1,2
12.4,26.6,0.433,0.16,52.1,11.1,59.9,0
20.4,38.7,0.416,0.316,49.6,19.4,44.0,0
14.9,54.4,0.523,0.366,57.2,13.9,57.2,0
14.8,42.8,0.509,0.334,46.7,31.4,42.6,0
13.7,83.0,0.535,0.535,58.3,6.2,209.0,0
18.1,33.3,0.525,0.364,53.9,12.6,57.9,0
52.5,96.8,0.876,0.488,30.0,17.9,57.8,2
24.9,86.1,0.548,0.59,49.5,10.7,56.4,1
3.4,95.2,0.696,0.526,54.1,5.0,53.5,1
43.9,52.1,0.335,0.538,67.6,28.8,47.7,1
22.5,40.4,0.396,0.283,58.3,15.9,228.2,0
29.6,55.7,0.575,0.249,65.1,3.4,54.7,0
